Txn Ref,Posted On,Cust No,Txn Amount (USD),Entry Mode,Payee Name,MCC Group,Payee Age (d),Txn Country,Billing Country,New Device?,Trans Count 24H,Avg Txn 30D,Days Since Open,Particulars,Confirmed Fraud
TX-100024,2026-09-05 22:05:29,AC-4715,14.99,atm,Pallas Labs,telecom_topup,1026,US,US,Y,3,9.61,220,in store purchase,0
TX-100025,2026-08-29 10:25:46,AC-4165,24.03,card_present,Halcyon Trading,gift_cards,26,GB,GB,Y,14,21.23,1153,regular vendor payment,0
TX-100026,2026-09-08 00:05:54,AC-4074,76.91,wallet,Hollow Supply,grocery,322,BD,BD,N,1,45.4,189,payroll credit,0
TX-100027,2026-09-01 01:07:12,AC-4729,5.87,wallet,Tindal Trading,restaurant,1524,GB,GB,N,1,8.01,9,in store purchase,0
TX-100028,2026-09-12 09:13:13,AC-4008,48.71,wire_transfer,Nexa Exchange,utilities,1,BD,BD,Y,6,43.01,17,in store purchase,0
TX-100029,2026-08-20 14:05:26,AC-4494,220.78,atm,Pallas Exchange,utilities,109,GB,US,N,4,45.28,12,recurring subscription renewal,0
TX-100030,2026-08-23 11:23:29,AC-4627,24.57,card_not_present,Mistral Mart,fuel,208,US,US,N,10,24.01,378,regular vendor payment,0
TX-100031,2026-09-03 21:19:00,AC-4186,99.18,atm,Verdant Labs,money_transfer,2,AE,BD,N,10,79.83,14,in store purchase,0
TX-100032,2026-09-06 14:54:51,AC-4484,65.26,wallet,Corvid Group,utilities,105,US,US,N,10,41.54,966,monthly utility bill,0
TX-100033,2026-09-14 05:01:13,AC-4783,24.08,card_not_present,Quarry Group,restaurant,2,US,US,N,12,22.5,8,regular vendor payment,0
TX-100034,2026-09-02 21:19:09,AC-4384,22.33,wallet,Verdant Labs,money_transfer,103,BD,BD,N,11,24.76,153,gift card bulk order,1
TX-100035,2026-09-14 17:22:55,AC-4864,17.66,atm,Mistral Supply,pharmacy,1266,GB,GB,N,2,16.91,99,monthly utility bill,0
TX-100036,2026-08-20 16:20:36,AC-4161,35.57,card_not_present,Kestrel Exchange,crypto_exchange,164,BD,BD,N,5,26.64,725,regular vendor payment,0
TX-100037,2026-09-15 17:22:41,AC-4868,11.41,wire_transfer,Verdant Retail,utilities,718,BD,BD,N,8,12.72,181,in store purchase,0
TX-100038,2026-08-19 13:48:10,AC-4454,13.49,card_present,Quarry Labs,telecom_topup,69,GB,GB,N,4,12.76,29,recurring subscription renewal,0
TX-100039,2026-08-23 21:10:30,AC-4833,19.1,wallet,Halcyon Supply,pharmacy,47,US,US,Y,1,15.08,391,in store purchase,0
TX-100040,2026-08-22 15:59:27,AC-4602,29.6,card_present,Kestrel Retail,electronics,14,GB,GB,N,2,30.59,30,regular vendor payment,0
TX-100041,2026-09-04 12:31:45,AC-4205,8.34,atm,Vireo Group,money_transfer,49,US,US,N,6,9.47,490,monthly utility bill,0
TX-100042,2026-08-24 18:44:28,AC-4759,74.43,card_not_present,Verdant Mart,travel,18,US,GB,N,4,49.69,380,recurring subscription renewal,0
TX-100043,2026-08-18 12:07:53,AC-4830,20.01,card_not_present,Corvid Retail,gift_cards,43,SG,GB,N,1,22.74,28,in store purchase,0
TX-100044,2026-08-20 12:31:11,AC-4403,94.21,wire_transfer,Hollow Labs,utilities,44,GB,GB,N,1,29.12,310,payroll credit,0
TX-100045,2026-08-30 13:19:02,AC-4662,30.51,card_present,Nexa Trading,fuel,22,MY,BD,N,3,24.64,7,payroll credit,0
TX-100046,2026-09-15 21:35:39,AC-4096,3.16,wire_transfer,Pallas Mart,pharmacy,846,GB,GB,N,1,12.68,33,grocery basket,0
TX-100047,2026-08-28 04:04:13,AC-4402,9.56,wire_transfer,Mistral Group,grocery,8,NG,GB,N,9,15,46,recurring subscription renewal,0
TX-100048,2026-08-21 07:04:06,AC-4591,7.3,card_present,Corvid Trading,pharmacy,1,GB,GB,N,10,12.25,318,grocery basket,0
TX-100049,2026-09-10 10:10:02,AC-4818,173.48,atm,Mistral Supply,fuel,34,US,US,N,2,178.55,10,grocery basket,0
TX-100050,2026-09-11 09:05:30,AC-4669,28.37,atm,Pallas Supply,pharmacy,40,US,US,N,14,29.57,22,fuel top up,0
TX-100051,2026-08-25 07:41:38,AC-4669,5.33,atm,Corvid Group,gift_cards,151,GB,BD,N,4,5,100,in store purchase,0
TX-100052,2026-09-05 03:18:24,AC-4348,30.82,card_present,Aster Digital,travel,1452,US,US,N,8,32.31,492,regular vendor payment,0
TX-100053,2026-09-15 23:10:54,AC-4424,315.04,wallet,Halcyon Digital,utilities,41,BD,BD,Y,14,14.98,40,monthly utility bill,0
TX-100054,2026-08-25 23:58:55,AC-4367,136.73,wallet,Aster Group,apparel,4,GB,GB,Y,4,110.29,30,in store purchase,0
TX-100055,2026-09-01 11:40:21,AC-4229,22.04,card_not_present,Pallas Trading,restaurant,322,US,US,N,2,25.8,375,grocery basket,0
TX-100056,2026-09-01 23:16:46,AC-4486,5.11,card_not_present,Quarry Supply,pharmacy,1350,IN,GB,N,14,5.67,396,payroll credit,0
TX-100057,2026-08-19 14:43:08,AC-4208,13.61,wire_transfer,Kestrel Mart,utilities,2,GB,GB,Y,4,10.38,10,regular vendor payment,0
TX-100058,2026-08-27 19:50:02,AC-4442,19.39,card_present,Mistral Digital,gift_cards,274,BD,BD,N,15,34.33,637,payroll credit,0
TX-100059,2026-09-11 18:06:43,AC-4584,11.93,wallet,Meridian Labs,crypto_exchange,842,GB,GB,N,14,8.02,128,recurring subscription renewal,0
TX-100060,2026-09-02 15:19:24,AC-4268,10.59,wallet,Tindal Digital,crypto_exchange,20,BD,BD,N,15,11.79,1172,in store purchase,0
TX-100061,2026-08-18 02:37:54,AC-4274,1.76,wire_transfer,Orbit Mart,utilities,116,US,US,N,6,5,12,payroll credit,0
TX-100062,2026-09-02 06:26:59,AC-4350,3.96,wire_transfer,Meridian Exchange,gift_cards,8,US,US,N,14,5,249,fuel top up,0
TX-100063,2026-09-16 10:43:32,AC-4333,3.33,atm,Mistral Group,gift_cards,6,BD,BD,N,5,29.76,622,payroll credit,0
TX-100064,2026-08-31 12:50:05,AC-4600,20.3,card_not_present,Quarry Exchange,apparel,1152,US,US,N,1,28.02,233,payroll credit,0
TX-100065,2026-09-10 14:34:38,AC-4879,7.4,wallet,Meridian Supply,gift_cards,1449,SG,US,N,2,6.07,54,grocery basket,0
TX-100066,2026-08-17 06:39:18,AC-4543,1.19,card_present,Pallas Exchange,utilities,14,BD,BD,N,1,37.59,108,payroll credit,0
TX-100067,2026-09-06 18:03:22,AC-4743,80.09,card_not_present,Halcyon Trading,fuel,2,MY,GB,N,10,45.32,43,recurring subscription renewal,0
TX-100068,2026-09-14 08:49:27,AC-4702,604.72,wallet,Halcyon Retail,money_transfer,15,IN,GB,N,1,43.59,193,urgent transfer request,1
TX-100069,2026-08-21 12:25:10,AC-4808,29.77,card_not_present,Meridian Group,apparel,44,GB,GB,N,1,21.14,12,fuel top up,0
TX-100070,2026-09-04 13:10:28,AC-4314,9.45,wallet,Halcyon Exchange,telecom_topup,3,GB,GB,N,7,7.97,6,monthly utility bill,0
TX-100071,2026-09-03 17:01:43,AC-4116,65.46,wire_transfer,Meridian Labs,grocery,5,US,US,N,3,44.89,51,fuel top up,0
TX-100072,2026-08-25 02:07:12,AC-4605,109.73,atm,Nexa Retail,pharmacy,61,US,US,N,3,14.85,33,payroll credit,0
TX-100073,2026-08-18 18:40:49,AC-4389,204.27,card_not_present,Corvid Group,crypto_exchange,590,GB,GB,N,8,22.34,704,monthly utility bill,0
TX-100074,2026-08-23 15:45:45,AC-4487,9.45,wallet,Meridian Group,gift_cards,1169,GB,GB,N,7,14.68,408,monthly utility bill,0
TX-100075,2026-08-31 23:57:08,AC-4646,87.72,wire_transfer,Orbit Retail,gift_cards,2,BD,BD,N,7,67.9,10,monthly utility bill,0
TX-100076,2026-08-25 11:35:14,AC-4595,22.66,atm,Halcyon Group,fuel,1609,GB,GB,N,10,17.05,518,in store purchase,0
TX-100077,2026-09-05 11:27:14,AC-4406,1.65,wallet,Verdant Digital,restaurant,7,US,US,N,12,5,747,grocery basket,0
TX-100078,2026-08-31 18:51:11,AC-4294,4.4,card_not_present,Meridian Retail,gift_cards,40,IN,BD,Y,1,5,713,payroll credit,0
TX-100079,2026-09-06 19:40:46,AC-4046,15.78,wire_transfer,Aster Mart,grocery,34,BD,BD,N,3,16.47,1157,in store purchase,0
TX-100080,2026-08-31 06:23:11,AC-4142,20.21,atm,Kestrel Retail,apparel,8,BD,BD,N,13,16.77,530,fuel top up,0
TX-100081,2026-09-13 03:03:00,AC-4466,49.14,card_present,Pallas Supply,utilities,148,US,US,N,1,82.54,52,monthly utility bill,0
TX-100082,2026-09-08 21:24:37,AC-4523,7.12,atm,Pallas Retail,gift_cards,36,BD,BD,Y,14,10.64,30,fuel top up,0
TX-100083,2026-09-13 10:47:32,AC-4788,22.28,wire_transfer,Mistral Retail,grocery,7,BD,BD,Y,2,19.07,484,grocery basket,0
TX-100084,2026-09-06 09:08:51,AC-4650,12.31,wire_transfer,Halcyon Labs,telecom_topup,361,GB,GB,N,1,14.56,25,fuel top up,0
TX-100085,2026-09-13 13:54:55,AC-4005,21.11,atm,Hollow Exchange,utilities,992,US,US,Y,1,20.42,25,payroll credit,0
TX-100086,2026-09-13 06:52:40,AC-4558,5.54,card_present,Meridian Group,grocery,5,BD,BD,N,8,9.1,5,recurring subscription renewal,0
TX-100087,2026-09-15 04:28:42,AC-4572,7.3,card_not_present,Halcyon Exchange,restaurant,40,US,US,N,3,12.07,11,gift card bulk order,1
TX-100088,2026-09-01 16:29:58,AC-4287,8.31,card_not_present,Vireo Supply,apparel,311,BD,BD,N,6,7.81,12,in store purchase,0
TX-100089,2026-08-23 07:14:05,AC-4229,11.26,card_present,Tindal Mart,grocery,358,GB,GB,N,2,9.93,98,in store purchase,0
TX-100090,2026-08-25 16:53:35,AC-4116,148.18,card_not_present,Nexa Digital,utilities,18,GB,GB,N,1,11.05,15,monthly utility bill,0
TX-100091,2026-09-10 17:40:38,AC-4656,61.18,card_present,Nexa Exchange,money_transfer,1,BD,BD,N,5,52.92,16,in store purchase,0
TX-100092,2026-09-06 23:38:52,AC-4216,52.68,atm,Orbit Retail,apparel,15,GB,GB,Y,4,38.35,116,recurring subscription renewal,0
TX-100093,2026-08-24 02:30:19,AC-4397,5.34,card_present,Vireo Trading,fuel,2,GB,GB,Y,15,7.86,42,monthly utility bill,0
TX-100094,2026-09-09 17:43:34,AC-4074,5.01,wallet,Larkspur Labs,fuel,810,GB,GB,N,4,7.04,197,regular vendor payment,0
TX-100095,2026-08-18 13:17:29,AC-4141,20.07,card_present,Verdant Group,pharmacy,5,US,US,N,1,15.78,811,grocery basket,0
TX-100096,2026-08-23 14:39:46,AC-4299,14.4,atm,Larkspur Retail,pharmacy,33,BD,GB,N,4,18.64,260,regular vendor payment,0
TX-100097,2026-09-12 15:06:39,AC-4839,17.6,wallet,Corvid Labs,electronics,36,MY,US,Y,11,15.24,29,monthly utility bill,0
TX-100098,2026-08-29 21:31:57,AC-4799,336.8,atm,Mistral Exchange,electronics,2,GB,GB,N,7,16.94,639,monthly utility bill,0
TX-100099,2026-08-19 19:34:25,AC-4665,14.25,card_not_present,Quarry Trading,pharmacy,1,GB,GB,Y,2,19.99,528,in store purchase,0
TX-100100,2026-09-02 05:33:03,AC-4020,4.98,card_present,Vireo Exchange,grocery,769,GB,GB,N,1,6.93,21,payroll credit,0
TX-100101,2026-08-30 17:15:45,AC-4816,33.04,wire_transfer,Tindal Digital,restaurant,16,US,US,N,15,38.6,1327,recurring subscription renewal,0
TX-100102,2026-09-04 19:27:09,AC-4339,9.92,wire_transfer,Halcyon Group,restaurant,16,SG,BD,N,2,14.31,443,regular vendor payment,0
TX-100103,2026-09-06 02:33:59,AC-4532,45.61,card_present,Aster Digital,crypto_exchange,2,BD,BD,N,3,51.28,264,payroll credit,0
TX-100104,2026-08-23 02:23:31,AC-4551,18.83,card_not_present,Verdant Labs,fuel,7,GB,GB,N,2,20.83,5,fuel top up,0
TX-100105,2026-09-13 06:55:46,AC-4574,7.94,atm,Halcyon Digital,fuel,150,US,GB,N,2,14.48,700,recurring subscription renewal,0
TX-100106,2026-08-22 09:44:04,AC-4346,285.04,wallet,Orbit Trading,pharmacy,612,US,US,N,10,23.22,1118,recurring subscription renewal,0
TX-100107,2026-09-15 22:45:30,AC-4776,1.52,card_present,Orbit Supply,restaurant,1,GB,GB,N,9,25.79,1157,grocery basket,0
TX-100108,2026-09-03 05:19:33,AC-4823,965.05,card_not_present,Halcyon Labs,money_transfer,2,BD,BD,N,1,43.13,277,fuel top up,0
TX-100109,2026-09-08 20:45:43,AC-4832,4.4,card_present,Verdant Mart,pharmacy,1213,BD,BD,N,2,8.34,693,grocery basket,0
TX-100110,2026-08-21 17:12:13,AC-4383,6.28,atm,Kestrel Group,crypto_exchange,1271,US,US,N,6,8.77,536,fuel top up,0
TX-100111,2026-09-12 23:11:41,AC-4037,12.98,card_present,Verdant Trading,fuel,188,US,BD,Y,15,10.71,344,regular vendor payment,0
TX-100112,2026-09-12 23:53:25,AC-4043,61.33,card_present,Halcyon Labs,apparel,60,GB,GB,N,1,42.61,72,grocery basket,0
TX-100113,2026-08-18 00:39:33,AC-4240,7.68,card_present,Corvid Trading,money_transfer,1,NG,GB,N,10,14.19,23,in store purchase,0
TX-100114,2026-09-09 01:14:20,AC-4876,13.05,atm,Corvid Exchange,crypto_exchange,13,GB,GB,N,10,10.83,8,payroll credit,0
TX-100115,2026-08-28 13:07:57,AC-4502,25.71,atm,Aster Digital,pharmacy,273,NG,GB,N,2,20.55,6,fuel top up,0
TX-100116,2026-09-10 21:42:13,AC-4894,17.16,card_present,Meridian Group,telecom_topup,1449,BD,BD,Y,1,15.79,98,in store purchase,0
TX-100117,2026-09-15 19:42:14,AC-4606,33.81,wallet,Halcyon Supply,grocery,131,US,US,N,10,30.09,86,regular vendor payment,0
TX-100118,2026-08-31 18:15:07,AC-4411,13.87,wire_transfer,Tindal Mart,travel,10,US,US,N,2,11.86,838,recurring subscription renewal,0
TX-100119,2026-09-13 23:35:38,AC-4371,127.24,wallet,Pallas Trading,pharmacy,39,BD,BD,Y,14,87.47,18,regular vendor payment,0
TX-100120,2026-09-11 20:35:38,AC-4592,7.29,wire_transfer,Hollow Mart,apparel,3,GB,GB,N,4,13.44,10,regular vendor payment,0
TX-100121,2026-09-08 11:55:45,AC-4289,27.89,card_present,Quarry Retail,money_transfer,1003,GB,GB,N,6,36.04,10,monthly utility bill,0
TX-100122,2026-09-10 14:55:06,AC-4779,32.44,card_not_present,Meridian Mart,restaurant,66,US,US,Y,1,41.84,317,payroll credit,0
TX-100123,2026-09-13 07:41:28,AC-4411,34.5,wire_transfer,Pallas Exchange,utilities,124,US,US,N,1,35.16,30,recurring subscription renewal,0
TX-100124,2026-09-07 21:08:33,AC-4411,84.35,wire_transfer,Nexa Trading,gift_cards,2,GB,GB,N,14,68.61,37,fuel top up,0
TX-100125,2026-08-27 17:53:23,AC-4133,33.01,wallet,Hollow Group,utilities,32,BD,BD,N,2,36.16,94,fuel top up,0
TX-100126,2026-09-06 04:01:41,AC-4805,0.99,card_not_present,Tindal Labs,apparel,1,GB,GB,Y,4,141.65,1171,fuel top up,0
TX-100127,2026-08-20 09:33:49,AC-4509,56.85,card_present,Larkspur Labs,pharmacy,189,US,US,N,6,79.66,412,grocery basket,0
TX-100128,2026-09-16 10:50:17,AC-4890,10.28,atm,Vireo Digital,crypto_exchange,274,US,BD,N,9,12.33,155,monthly utility bill,0
TX-100129,2026-08-31 19:03:51,AC-4324,20.4,card_not_present,Aster Mart,fuel,185,GB,GB,N,1,36.11,310,recurring subscription renewal,0
TX-100130,2026-09-01 18:33:33,AC-4679,27.59,card_not_present,Quarry Mart,telecom_topup,1,US,US,Y,3,28.64,505,monthly utility bill,0
TX-100131,2026-08-20 21:56:16,AC-4127,9.15,wire_transfer,Meridian Digital,travel,1,BD,BD,N,4,5.78,26,fuel top up,0
TX-100132,2026-08-17 14:03:43,AC-4418,2.98,wire_transfer,Orbit Group,money_transfer,2,IN,US,N,3,10.92,849,in store purchase,0
TX-100133,2026-09-08 03:16:41,AC-4364,644.41,wire_transfer,Verdant Exchange,crypto_exchange,302,US,US,Y,3,41.77,220,regular vendor payment,0
TX-100134,2026-08-24 13:51:23,AC-4452,3.44,card_present,Vireo Group,telecom_topup,225,BD,BD,Y,1,35.99,40,regular vendor payment,0
TX-100135,2026-09-14 19:51:49,AC-4778,74.99,card_not_present,Hollow Labs,pharmacy,215,GB,GB,Y,2,59.27,52,in store purchase,0
TX-100136,2026-09-09 19:51:44,AC-4625,48.04,atm,Aster Retail,apparel,15,GB,GB,N,2,13.7,80,recurring subscription renewal,0
TX-100137,2026-08-18 22:34:21,AC-4309,22.74,wire_transfer,Pallas Supply,restaurant,115,GB,GB,N,2,16.31,32,recurring subscription renewal,0
TX-100138,2026-08-23 08:24:16,AC-4559,41.94,wire_transfer,Halcyon Mart,crypto_exchange,638,GB,GB,N,1,11.83,8,gift card bulk order,1
TX-100139,2026-09-01 20:30:09,AC-4883,72.47,atm,Hollow Group,utilities,1,GB,US,Y,2,51.15,51,fuel top up,0
TX-100140,2026-08-26 04:35:37,AC-4843,5.07,wire_transfer,Nexa Trading,fuel,293,US,US,Y,3,7.24,8,in store purchase,0
TX-100141,2026-09-04 08:44:41,AC-4205,12.13,card_not_present,Verdant Group,travel,56,BD,BD,Y,7,12.72,651,payroll credit,0
TX-100142,2026-08-21 05:33:07,AC-4110,485.04,card_present,Orbit Retail,travel,620,BD,BD,N,11,30.66,431,payroll credit,0
TX-100143,2026-08-28 14:17:01,AC-4347,29.22,card_not_present,Meridian Labs,utilities,78,US,US,N,4,18.42,125,grocery basket,0
TX-100144,2026-09-12 10:33:44,AC-4436,18.8,atm,Quarry Trading,electronics,24,BD,BD,N,3,16.01,7,in store purchase,0
TX-100145,2026-08-17 09:09:10,AC-4164,17.81,card_not_present,Verdant Labs,pharmacy,20,US,US,N,13,17.55,13,regular vendor payment,0
TX-100146,2026-08-19 19:48:01,AC-4268,19.5,card_not_present,Halcyon Exchange,electronics,1,GB,GB,N,10,27.53,100,recurring subscription renewal,0
TX-100147,2026-08-19 06:23:02,AC-4524,14.26,wire_transfer,Meridian Exchange,travel,333,GB,GB,N,4,16.87,59,recurring subscription renewal,0
TX-100148,2026-08-18 17:06:25,AC-4640,16.6,card_not_present,Aster Exchange,fuel,105,BD,BD,N,5,25.34,5,fuel top up,0
TX-100149,2026-09-08 13:53:21,AC-4292,310.25,card_present,Hollow Retail,restaurant,1,MY,US,N,2,85.61,45,grocery basket,0
TX-100150,2026-08-20 06:04:28,AC-4864,1.35,atm,Mistral Mart,grocery,5,BD,BD,N,8,100.5,14,regular vendor payment,0
TX-100151,2026-08-21 08:17:17,AC-4718,9.49,card_present,Aster Digital,money_transfer,7,DE,US,N,9,7.34,18,payroll credit,0
TX-100152,2026-09-08 13:58:19,AC-4645,41.31,wire_transfer,Hollow Group,travel,422,GB,GB,N,1,41.59,5,recurring subscription renewal,0
TX-100153,2026-09-14 13:25:25,AC-4700,60.23,wallet,Mistral Group,electronics,10,BD,BD,N,3,44.47,24,grocery basket,0
TX-100154,2026-09-04 22:26:12,AC-4406,37.63,card_present,Larkspur Exchange,gift_cards,6,BD,BD,Y,6,33.82,568,grocery basket,0
TX-100155,2026-09-06 15:58:06,AC-4150,21.95,card_present,Meridian Group,grocery,8,BD,BD,N,5,19.44,8,in store purchase,0
TX-100156,2026-09-07 17:03:56,AC-4050,68.29,wallet,Orbit Retail,pharmacy,74,SG,BD,N,7,63.95,1136,grocery basket,0
TX-100157,2026-09-10 13:23:38,AC-4026,284.79,wallet,Nexa Mart,pharmacy,97,GB,US,N,1,16.43,8,monthly utility bill,0
TX-100158,2026-08-22 21:13:22,AC-4499,3.02,wire_transfer,Hollow Labs,electronics,604,NG,US,N,1,27.46,17,fuel top up,0
TX-100159,2026-08-27 22:26:08,AC-4458,56.02,atm,Vireo Group,crypto_exchange,1,US,US,Y,11,43.83,110,regular vendor payment,0
TX-100160,2026-09-13 22:45:42,AC-4547,10.45,wallet,Aster Trading,restaurant,222,US,US,Y,13,8.66,207,fuel top up,0
TX-100161,2026-08-24 14:23:11,AC-4702,24.2,card_not_present,Vireo Group,pharmacy,6,GB,GB,N,1,19.35,1101,fuel top up,0
TX-100162,2026-09-09 08:37:58,AC-4081,99.84,wallet,Halcyon Retail,gift_cards,48,US,GB,N,1,66.66,740,payroll credit,0
TX-100163,2026-09-09 23:29:14,AC-4654,10.98,atm,Meridian Digital,utilities,1,BD,BD,N,2,15.71,1111,regular vendor payment,0
TX-100164,2026-08-26 12:00:20,AC-4187,19,card_not_present,Halcyon Trading,travel,7,GB,GB,Y,2,36.9,22,payroll credit,1
TX-100165,2026-09-16 21:50:45,AC-4625,128.64,card_present,Quarry Trading,pharmacy,15,US,US,N,1,17.3,10,fuel top up,0
TX-100166,2026-09-12 09:47:19,AC-4193,7.81,card_present,Vireo Group,apparel,18,GB,GB,N,10,9.96,17,grocery basket,0
TX-100167,2026-09-13 20:40:24,AC-4541,23.26,card_not_present,Orbit Exchange,fuel,15,GB,GB,N,8,23.21,37,fuel top up,0
TX-100168,2026-08-27 18:07:21,AC-4824,11.41,atm,Quarry Labs,grocery,17,US,US,Y,1,18.46,39,regular vendor payment,0
TX-100169,2026-09-07 02:26:07,AC-4324,0.75,card_present,Verdant Exchange,apparel,1117,US,US,N,14,49.05,9,in store purchase,0
TX-100170,2026-09-05 18:53:08,AC-4847,241.45,card_not_present,Halcyon Group,crypto_exchange,1,GB,GB,Y,3,16.33,239,grocery basket,0
TX-100171,2026-08-30 17:38:51,AC-4188,13.25,card_not_present,Meridian Exchange,electronics,221,RU,US,N,1,16.18,132,fuel top up,0
TX-100172,2026-08-21 08:13:17,AC-4578,527.86,wallet,Verdant Retail,money_transfer,1,BD,BD,N,3,25.67,215,in store purchase,0
TX-100173,2026-08-17 14:27:57,AC-4806,0.74,card_present,Larkspur Mart,crypto_exchange,46,BD,BD,N,11,7.46,40,recurring subscription renewal,0
TX-100174,2026-08-22 16:49:13,AC-4579,14.33,card_present,Quarry Group,pharmacy,2,IN,US,N,9,8.8,151,monthly utility bill,0
TX-100175,2026-09-04 12:16:01,AC-4368,49.35,wire_transfer,Orbit Digital,grocery,4,GB,GB,N,6,40.56,90,recurring subscription renewal,0
TX-100176,2026-09-07 05:29:27,AC-4880,13.96,wire_transfer,Nexa Retail,crypto_exchange,995,BD,GB,N,1,26.37,21,recurring subscription renewal,0
TX-100177,2026-08-20 06:16:31,AC-4008,7.88,wallet,Orbit Labs,gift_cards,2,US,US,N,11,6.1,254,payroll credit,0
TX-100178,2026-08-29 03:43:12,AC-4357,36.56,card_not_present,Meridian Labs,electronics,237,BD,BD,N,1,7.29,11,monthly utility bill,0
TX-100179,2026-09-15 10:52:16,AC-4649,21.46,card_present,Mistral Digital,apparel,2,BD,BD,N,1,14.42,14,regular vendor payment,0
TX-100180,2026-09-01 15:27:10,AC-4154,2.24,atm,Hollow Group,travel,51,BD,BD,Y,7,40.52,81,regular vendor payment,0
TX-100181,2026-09-07 12:20:03,AC-4691,4.74,wallet,Corvid Trading,electronics,1202,NG,GB,N,11,5,7,monthly utility bill,0
TX-100182,2026-08-21 13:08:35,AC-4667,3.84,card_present,Halcyon Retail,apparel,15,US,US,N,1,5,98,regular vendor payment,0
TX-100183,2026-08-23 22:06:19,AC-4477,3.54,card_present,Nexa Exchange,restaurant,1535,US,US,Y,4,29.51,11,recurring subscription renewal,0
TX-100184,2026-08-18 16:15:47,AC-4524,16.49,atm,Halcyon Supply,apparel,156,US,US,Y,1,12.85,875,recurring subscription renewal,0
TX-100185,2026-09-08 17:11:35,AC-4100,0.55,wire_transfer,Meridian Retail,crypto_exchange,1046,BD,BD,Y,2,7.99,12,recurring subscription renewal,0
